Locatie;categorie;X;Y;WS code;TOX code;jaar;maand;Fase 1;Fase 2;Fase 3;watervlo veld;bact;alg;watervlo;cytotox polair;cytotox apolair;ER;anti-AR;GR;anti-PR;antibio;PAK;PPARg;Nrf2;PXR;p53-;p53+;SRI 1.2;;;;;;;;;;
Zuider Legmeer zuid/mid;agrarisch;111980;471205;ZLP038;;2019;sept;0.66;;;0.25;0.02;0.00;0.07;1.19;0.00;1.19;0.36;0.00;0.71;0.00;0.05;0.00;0.19;1.69;0.45;0.00;0.66;;;;;;;;;;
Waterleidingkanaal;agrarisch;131687;463191;DW;GBPc;2015;sept;0.63;;;1.00;0.13;0.00;0.07;0.00;0.00;0.00;0.00;0.00;;0.00;0.52;0.00;2.82;0.21;0.00;0.00;0.63;;;;;;;;;;
Westeinderplassen (RL);referentie;110156;472039;WEP001;AVPa;2015;okt;0.62;;;1.50;0.05;0.02;0.02;;0.00;0.05;0.20;0.00;0.00;0.30;0.17;0.00;1.15;0.84;0.00;0.00;0.62;;;;;;;;;;
Vecht Horstermeer;RWZI;131780;473475;AW;VEHa;2014;mei;0.62;;;1.25;0.03;0.02;0.05;;0.01;0.79;0.29;0.29;;0.34;;0.00;0.31;;0.28;;0.62;;;;;;;;;;
Amstel bij Waternet HK;gasfabriek;122921;483739;AMS022;AMW;2016;okt;0.61;;;0.50;0.02;0.00;0.03;0.60;0.00;0.88;1.79;0.04;;0.07;0.44;0.00;0.38;0.52;0.01;0.00;0.61;;;;;;;;;;
Amstel na Uithoorn;stad&div;119054;473464;AMS021;AMU2;2012;juli;0.61;;;0.00;0.18;0.07;0.45;;;0.14;1.21;0.00;;0.02;1.93;0.64;;;0.00;;0.61;;;;;;;;;;
Amstel Ronde Venen;RWZI;118773;473258;AW;AMRc;2018;sept;0.60;;;0.00;0.05;0.00;0.05;0.60;0.00;0.69;1.29;0.07;0.60;0.16;0.27;0.62;0.15;1.53;0.00;;0.60;;;;;;;;;;
NIJ-plas (gronddepot);saneringsslib;119621;493373;NIJ006;;2018;juni;0.59;;;0.75;0.04;0.00;0.00;0.18;0.01;0.09;0.13;0.00;0.06;0.00;1.12;0.00;1.05;2.01;0.00;0.02;0.59;;;;;;;;;;
Hollandse rading;referentie;136721;464996;OBT009;;2019;sept;0.58;;;0.25;0.05;0.00;0.00;0.60;0.01;0.21;0.57;0.00;1.28;0.00;0.02;0.00;0.30;1.74;0.45;0.00;0.58;;;;;;;;;;
Zuider Legmeerpolder;agrarisch;110726;470068;ZLP001;ZLP7b;2016;mei;0.55;;;0.00;0.03;0.00;0.05;;0.00;1.07;1.71;0.00;;0.09;0.15;0.17;0.77;0.79;0.00;0.00;0.55;;;;;;;;;;
Noorder Legmeerpolder;agrarisch;115716;475203;NLP004;NLP3a;2013;juli;0.54;;;1.25;0.07;0.00;0.09;;;0.50;0.47;0.00;;0.00;;0.00;;;0.00;;0.54;;;;;;;;;;
Amstel Amstelveen;RWZI;122116;480623;AW;AMAc;2018;sept;0.54;;;0.50;0.01;0.00;0.00;0.60;0.00;0.58;1.64;0.00;0.73;0.06;0.06;0.00;0.01;0.82;0.00;;0.54;;;;;;;;;;
Jachthaven Omzicht;haven;123601;471068;PGW002;;2017;mei;0.54;;;0.81;0.08;0.00;0.00;0.06;0.00;0.10;0.24;0.00;;0.00;0.33;0.26;0.17;1.97;0.02;0.02;0.54;;;;;;;;;;
KWR punt Vecht boezem;stad&div;130310;475777;VEC004;;2018;juni;0.54;;;0.50;0.00;0.00;0.00;0.79;0.01;0.22;0.09;0.00;0.08;0.00;1.38;0.00;0.76;0.81;0.48;0.48;0.54;;;;;;;;;;
Sloterplas, zuid;haven;115987;485755;SBI117;;2019;sept;0.53;;;0.20;0.06;0.00;0.06;0.24;0.00;1.02;0.27;0.00;0.29;0.07;0.32;0.00;0.36;1.90;0.07;0.00;0.53;;;;;;;;;;
Vast punt ZLP glastuinbouw;agrarisch;111980;471205;ZLP038;;2018;okt;0.52;;;2.00;0.00;0.00;1.45;0.18;0.00;0.12;0.48;0.02;0.18;0.04;0.05;0.00;0.16;1.34;0.00;0.00;0.52;;;;;;;;;;
Vecht Horstermeer;RWZI;131780;473475;AW;VEHb;2018;sept;0.51;;;0.00;0.02;0.00;0.02;0.60;0.00;0.83;0.83;0.08;0.38;0.12;0.06;0.34;0.15;1.78;0.00;;0.51;;;;;;;;;;
