fewsid;code;naam;b_datum;e_datum;aquo;aquoid;WNA.oeverplantensoorten;datum;geslacht;author;beschermingsstatus.florafaunawet;WNA.habitatvoorkeur.vis;taxoncode;TWN.taxongroup;WNA.fytoplankton.groep;parentname;levensvorm;WNA.migratiegilde.vis;WNA.zuurstoftolerante.vis;WNA.kroossoorten;WNA.emerse.plantensoorten;check_2;TWN.taxonlevel;WNA.toxische.blauwalg;check1;WNA.reynolds.groep.cyanobacterieen;WNA.nederlandse.soortnaam;status;WNA.plantminnendheid.vis;WNA.fytoplankton.subgroep;refername;alleendrogeoever;WNA.onderwaterplantensoorten;WNA.soorten.met.drijvend.blad;WNA.stromingsgilde.vis;TWN.taxontype
2527;Calanidae;Calanidae;1-1-1981;;;;;25-11-2008;Calanidae;J.D. Dana, 1849;;;CAAN;COPEP;;Calanoida;;;;;;;Familia;;;;;10;;;;;;;;ZOOPT
2528;Calanoida;Calanoida;1-1-1981;;;;;25-11-2008;Calanoida;G.O. Sars, 1903;;;CAOI;COPEP;;Gymnoplea;;;;;;;Ordo;;;;;10;;;;;;;;ZOOPT
2529;Calanoide copepodiet;Calanoida;1-1-1981;31-12-2017;;;;25-11-2008;Calanoida;G.O. Sars, 1903;;;CAOI;COPEP;;Gymnoplea;;;;;;;Ordo;;;;;10;;;;;;;;ZOOPT
2530;Calanus;Calanus;1-1-1981;;;;;2-11-2009;Calanus;W.E. Leach, 1819;;;CALA;COPEP;;Calanidae;;;;;;;Genus;;;;;10;;;;;;;;ZOOPT
2531;Calanus finmarchicus;Calanus finmarchicus;1-1-1981;;;;;2-11-2009;Calanus;J.E. Gunner, 1765;;;CALAFINM;COPEP;;Calanus;;;;;;;Species;;;;;10;;;;;;;;ZOOPT
2532;Calcarea;Calcarea;1-1-1981;;;;;13-9-2016;Calcarea;Bowerbank, 1864;;;CALC;BRHYP;;Porifera;;;;;;;Classis;;;;;10;;;;;;;;MACEV
2533;Calcarius;Calcarius;1-1-1981;;;;;25-11-2008;Calcarius;Bechstein, 1802;;;CALR;;;Emberizidae;;;;;;;Genus;;;;;10;;;;;;;;VOGLS
2534;Calcarius lapponicus;Calcarius lapponicus;1-1-1981;;;;;25-11-2008;Calcarius;(Linnaeus, 1758);;;CALRLAPP;;;Calcarius;;;;;;;Species;;;;IJsgors;10;;;;;;;;VOGLS
2535;Calciodinellaceae;Calciodinellaceae;1-1-1981;;;;;10-10-2011;Calciodinellaceae;G.-V. Deflandre 1947;;;CAIO;HITAX;Overige;Peridiniales;;;;;;;Familia;0;;;;10;;Overig;;;;;;FYTPT
2536;Calendula;Calendula;1-1-1981;;;;1;25-11-2008;Calendula;C. Linnaeus 1753;;;CAEN;ANGIO;;Asteraceae;;;;0;0;;Genus;;;;;10;;;;1;0;0;;MACFT
2537;Calidris;Calidris;1-1-1981;;;;;25-11-2008;Calidris;Merrem, 1804;;;CALI;;;Scolopacidae;;;;;;;Genus;;;;;10;;;;;;;;VOGLS
2538;Calidris acuminata;Calidris acuminata;1-1-1981;;;;;25-11-2008;Calidris;(Horsfield, 1821);;;CALIACUM;;;Calidris;;;;;;;Species;;;;Siberische Strandloper;10;;;;;;;;VOGLS
2539;Calidris alba;Calidris alba;1-1-1981;;;;;25-11-2008;Calidris;(Pallas, 1764);;;CALIALBA;;;Calidris;;;;;;;Species;;;;Drieteenstrandloper;10;;;;;;;;VOGLS
2540;Calidris alpina;Calidris alpina;1-1-1981;;;;;25-11-2008;Calidris;(Linnaeus, 1758);;;CALIALPI;;;Calidris;;;;;;;Species;;;;Bonte Strandloper;10;;;;;;;;VOGLS
2541;Calidris bairdii;Calidris bairdii;1-1-1981;;;;;25-11-2008;Calidris;(Coues, 1861);;;CALIBAIR;;;Calidris;;;;;;;Species;;;;Bairds Strandloper;10;;;;;;;;VOGLS
2542;Calidris canutus;Calidris canutus;1-1-1981;;;;;25-11-2008;Calidris;(Linnaeus, 1758);;;CALICANU;;;Calidris;;;;;;;Species;;;;Kanoet;10;;;;;;;;VOGLS
