GeoObject.code;HoortBijGeoobject.identificatie;GHPR;gebied;Gbdafk;Doel;bronddoel;HandelingsperspectiefWBP;Doel_2022;brondoel_2022;Doel_2022_v2;brondoel_2022_v2
;NL11_6400-EAG-2;Overige waterflora-kwaliteit;6400-EAG-2;Wtgfsmr,N;0.6;handelingsperspectief_score2015-2017;;0.2092;10% beste 2006-2019;0.21;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_6420-EAG-1;Overige waterflora-kwaliteit;6420-EAG-1;GmsPWVTLinnaeus;0.6;handelingsperspectief_score2015-2017;;0.228;10% beste 2006-2019;0.23;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_6430-EAG-1;Overige waterflora-kwaliteit;6430-EAG-1;BmbrgOzijds;0.49845;handelingsperspectief_score2006-2014;0.065;0.6276;10% beste 2006-2019;0.62;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_6440-EAG-1;Overige waterflora-kwaliteit;6440-EAG-1;PBRKwrdW,bmlgbd;0.6;handelingsperspectief_score2015-2017;;0.535;10% beste 2006-2019;0.54;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_6440-EAG-2;Overige waterflora-kwaliteit;6440-EAG-2;PBRKwrdW,;0.6;handelingsperspectief_score2015-2017;;0.5464;10% beste 2006-2019;0.55;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019 + 0.05ekr bonus
;NL11_6440-EAG-3;Overige waterflora-kwaliteit;6440-EAG-3;PBRKwrdW,;0.6;Default GEP;;0.6;Default GEP;;
;NL11_6440-EAG-4;Overige waterflora-kwaliteit;6440-EAG-4;PBRKwrdW,;0.6;Default GEP;;0.6;Default GEP;;
;NL11_6450-EAG-1;Overige waterflora-kwaliteit;6450-EAG-1;AVPW,bemal;0.53;handelingsperspectief_score2006-2014;0.17;0.6136;10% beste 2006-2019;0.61;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_6450-EAG-2;Overige waterflora-kwaliteit;6450-EAG-2;AVPW,fort;;;0.17;0.6;Default GEP;;
;NL11_6450-EAG-3;Overige waterflora-kwaliteit;6450-EAG-3;AVPW,Z;0.343666667;handelingsperspectief_score2006-2014;0.17;0.5385;10% beste 2006-2019;0.54;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019 + 0.05ekr bonus
;NL11_6460-EAG-1;Overige waterflora-kwaliteit;6460-EAG-1;BreukelN;0.437;handelingsperspectief_score2006-2014;0;0.547;10% beste 2006-2019;0.59;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_6460-EAG-2;Overige waterflora-kwaliteit;6460-EAG-2;BreukelN,lnd;0.263666667;handelingsperspectief_score2006-2014;0;0.45;10% beste 2006-2019;0.51;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019 + 0.05ekr bonus
;NL11_6480-EAG-1;Overige waterflora-kwaliteit;6480-EAG-1;HGPbmlgbd;0.7109;handelingsperspectief_score2006-2014;0.2;0.6974;10% beste 2006-2019;0.64;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
