"EAG";"jaar";"O1";"O2";"O3";"O4";"O5";"O6";"O7";"O8";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"GAFNAAM";"KRW_SGBP3";"KRWmonitoringslocatie_SGBP3";"SGBP3_NAAM"
"2600-EAG-1";2017;5;12;0;0;7;67;0;9;0;0;0;23;30;16;40;9;14;"Polder Zevenhoven, bemalen gebied";"NL11_2_4";"NL11_VaartenZevenhoven";"Vaarten Zevenhoven"
"2600-EAG-2";2017;0;0;0;0;0;100;0;0;0;50;0;0;25;25;50;0;25;"Polder Zevenhoven, Oude Nieuwveenseweg";"";"";""
"2600-EAG-3";2017;14;29;0;0;0;0;29;29;0;43;0;0;14;57;71;0;29;"Polder Zevenhoven, Nieuw Amstel";"";"";""
"2600-EAG-4";2017;0;0;0;0;50;0;25;25;0;25;0;25;0;75;25;0;25;"Polder Zevenhoven, Bloklandseweg";"";"";""
"2600-EAG-5";2017;0;0;0;0;0;58;8;33;0;0;8;8;8;75;33;0;25;"Polder Zevenhoven, Odesssa_Driesprong_De Jonker";"NL11_2_4";"NL11_VaartenZevenhoven";"Vaarten Zevenhoven"
"2600-EAG-6";2017;0;0;0;0;14;57;0;29;0;0;29;0;17;50;33;0;0;"Polder Zevenhoven, Achterweg_Zeerust";"NL11_2_4";"NL11_VaartenZevenhoven";"Vaarten Zevenhoven"
"2600-EAG-8";2017;0;0;0;0;5;79;0;16;0;0;11;6;22;50;33;6;11;"Polder Zevenhoven, Kousmolentocht/Jonge Zevenhovenseweg";"NL11_2_4";"NL11_VaartenZevenhoven";"Vaarten Zevenhoven"
"2600-EAG-9";2017;0;0;0;0;0;90;0;10;0;0;0;94;0;0;6;0;0;"Polder Zevenhoven, Groene Jonker";"";"";""
"2610-EAG-1";2017;10;12;0;0;4;71;0;2;2;21;0;11;32;23;43;2;19;"Buitendijkse Oosterpolder, Buitenwesterpolder en Blokland (noord), bemalen gebied";"";"";""
"2620-EAG-1";2018;3;7;0;0;4;82;0;5;0;1;11;8;16;12;62;14;25;"Voordijkschepolder, Voordijkschepolder";"";"";""
"2625-EAG-1";2019;0;0;0;2;6;91;0;2;12;18;2;6;24;22;38;4;12;"Blokland, Blokland";"";"";""
"2630-EAG-1";2017;3;0;0;0;0;97;0;0;7;48;0;28;21;45;38;0;3;"Noordse Buurt en Westveense Polder, Noordse buurt";"";"";""
"2630-EAG-2";2017;0;0;0;0;0;100;0;0;7;67;0;20;13;47;53;0;7;"Noordse Buurt en Westveense Polder, Noordse dorp";"";"";""
"2630-EAG-3";2017;0;4;0;0;8;88;0;0;12;15;0;16;4;16;60;0;32;"Noordse Buurt en Westveense Polder, Westveen";"NL11_2_12";"NL11_Westveen";"Westveen"
"3000-EAG-2";2017;28;20;0;4;20;12;0;16;0;0;5;24;6;12;65;0;24;"Vechtboezem, Vecht van Muiden tot Nigtevecht";"NL11_1_2";"NL11_Vecht";"Vecht"
"3000-EAG-3";2017;27;24;0;3;30;5;0;11;0;0;8;38;0;12;46;0;0;"Vechtboezem, Vecht van Nigtevecht tot Maarssen";"NL11_1_2";"NL11_Vecht";"Vecht"
"3000-EAG-4";2017;62;0;0;0;12;0;0;25;0;0;0;14;29;0;71;14;0;"Vechtboezem, Vecht van Maarssen tot Utrecht";"NL11_1_2";"NL11_Vecht";"Vecht"
"3000-EAG-5";2011;0;0;0;0;0;67;0;33;0;33;0;33;33;0;33;0;33;"Vechtboezem, stedelijk gebied Maarssen";"";"";""
"3020-EAG-1";2017;0;0;0;0;25;12;0;62;0;62;12;0;12;62;25;0;0;"Noorder- of Rietpolder (De Krijgsman), landelijk";"";"";""
"3020-EAG-2";2011;0;0;0;0;0;33;0;67;0;33;0;0;33;67;0;0;0;"Noorder- of Rietpolder (De Krijgsman), Kruitfabriek eo";"";"";""
"3040-EAG-1";2017;0;0;0;0;0;100;0;0;50;0;0;0;100;0;0;0;0;"Bloemendalerpolder (noord), Bloemendalerpolder (noord)";"";"";""
"3050-EAG-1";2017;11;22;0;0;22;33;0;11;0;33;0;0;56;33;44;0;0;"Gemeenschapspolder zuid-oost, Gemeenschapspolder zuid-oost";"";"";""
"3050-EAG-2";2017;0;0;0;0;0;0;0;100;0;50;0;0;0;50;0;0;0;"Gemeenschapspolder zuid-oost, Bloemendalerpolder Weesp";"";"";""
"3070-EAG-1";2018;0;0;0;0;4;77;0;19;10;22;0;0;49;41;12;29;10;"Holland, Sticht, Voorburg en Polder het Honderd oost, Voorburg";"";"";""
"3070-EAG-2";2018;2;5;0;0;0;88;0;6;6;3;0;8;40;38;14;14;10;"Holland, Sticht, Voorburg en Polder het Honderd oost, Nog opknippen in  EAG's";"";"";""
"3100-EAG-1";2019;0;8;0;0;39;30;4;19;0;0;1;3;55;17;24;32;5;"Naardermeer, Binnezij/Spookgat";"NL11_4_1";"NL11_Naardermeer";"Naardermeer"
"3100-EAG-10";2019;0;0;0;0;0;34;2;64;21;57;4;14;18;50;39;0;29;"Naardermeer, Meerlanden";"";"";""
"3100-EAG-2";2019;0;0;0;0;62;32;3;3;0;0;1;10;39;43;8;11;2;"Naardermeer, Groote Meer Noord";"NL11_4_1";"NL11_Naardermeer";"Naardermeer"
"3100-EAG-3";2019;0;0;0;0;56;20;13;12;0;0;5;11;55;28;18;22;3;"Naardermeer, Groote Meer ZO";"NL11_4_1";"NL11_Naardermeer";"Naardermeer"
"3100-EAG-4";2019;0;0;0;0;41;39;5;14;12;0;14;0;47;50;6;19;0;"Naardermeer, Veertigmorgen";"NL11_4_1";"NL11_Naardermeer";"Naardermeer"
"3100-EAG-5";2019;0;0;0;0;25;43;3;29;3;0;0;73;12;8;8;4;2;"Naardermeer, Wijde- of Bovenste Blik";"NL11_4_1";"NL11_Naardermeer";"Naardermeer"
"3100-EAG-9";2019;0;0;0;0;3;33;0;64;5;0;0;0;38;43;14;24;5;"Naardermeer, Kwelgebied noord";"NL11_4_1";"NL11_Naardermeer";"Naardermeer"
