locatie.EAG;locatie.afaanvoergebied;datum;jaar;Ca_mg/kg_dg_BS;Ca_mg/kg_dg_PW;DICHTHD_kg/l_BS;Fe_mg/kg_dg_BS;Fe_mg/l_ng_BS;Fe_ug/l_nf_PW;GR_%_dg_BS;IR_%_BS;MONSDTE_m_BS;MONSDTE_m_PW;MONSDTE_m_E_BS;MONSDTE_m_E_PW;MONSLTE_m_BS;MONSLTE_m_PW;NH4_mgN/l_nf_PW;PO4_mgP/l_nf_PW;Ptot_gP/kg_dg_BS;Ptot_mgP/l_nf_PW;Ptot_mgP/l_ng_BS;Ptot_mgPOlsen/kg_dg_BS;Ptot_mgPOlsen/l_ng_BS;S_mg/l_OPGLT_PW;SLIBDTE_m_BS;SO4_mg/l_PW;Stot_mg/kg_dg_BS;Stot_mg/l_PW;Stot_mg/l_nf_PW;Stot_mg/l_ng_BS;T_oC_BS;WATDTE_m_BS;WATDTE_m_PW;X_CODNT_m_BS;X_CODNT_m_PW;Y_CODNT_m_BS;Y_CODNT_m_PW
3320-EAG-1;3320;2013-10-03;2013;;;5.715;49924.5;2400;1400;55;4.9;0;0;-10;-10;;;;;4.1;0.44;200;;;;;;30999.998;5.6;5.6;1550;10.7;;;130959;130959;469179.008;469179.008
3320-EAG-2;3320;2013-09-27;2013;;;5.8361;19656.1;1380;786;40.2;7.08;0;0;-10;-10;;;;;0.92;0.172;64.5;;;;;;19799.9992;0.616;0.616;1390;15.28;;;131397;131397;470260.2048;470260.2048
3320-EAG-4;3320;2013-09-27;2013;;;5.926;13429.7;1550;2280;52.4;15.68;0;0;-10;-10;;;;;0.46;0.04;54.7;;;;;;8780;0.56;0.56;1011;15.52;;;132364.2;132364.2;469053.4016;469053.4016
3360-EAG-10;3360;2013-09-13;2013;;;4.23683333333333;25743.6663333333;1716.66666666667;68.3333333333333;39.3333333333333;6.4;0;0;-10;-10;;;;;1.4;0.22;88;;;;;;33666.6666666667;1.96666666666667;1.96666666666667;2150;18;;;133560.666666667;133560.666666667;462418.656;462418.656
3360-EAG-10;3360;2017-06-12;2017;28000;;1.0424;17800;1620;55;37;8.62;;;;;;;2.44;;1.04;0.18;96.2;;;0.056;;2.5;34600;;;3220;17.22;;;;;;
3360-EAG-11;3360;2013-09-10;2013;;;8.9497;13985.3;7290;12160;96.7;57.39;0;0;-10;-10;;;;;0.36;0.263;173;;;;;;1133;0.93;0.93;568.5;14.14;;;134512.6016;134512.6016;461485.4016;461485.4016
3360-EAG-13;3360;2013-09-06;2013;;;5.78075;11135.25;875;505;36.5;7.55;0;0;-10;-10;;;;;0.85;0.21;59.25;;;;;;16500;1.245;1.245;1137.5;21.2;;;134268.004;134268.004;462604.496;462604.496
3360-EAG-13;3360;2017-06-09;2017;20900;;1.148;8033.33333333333;733.333333333333;113.333333333333;43.3333333333333;15.7333333333333;;;;;;;1.8;;0.533333333333333;0.115;49.6666666666667;;;0.0233333333333333;;2.5;13033.3333333333;;;1096.66666666667;16.8;;;;;;
3360-EAG-14;3360;2013-09-06;2013;;;5.68925;17976;975;40;36;5.45;0;0;-10;-10;;;;;7.15;0.76;321.75;;;;;;28500;1.25;1.25;1450;21.25;;;134090.996;134090.996;462914;462914
3360-EAG-15;3360;2017-06-08;2017;25000;;1.117;10000;1900;3200;61;17.3;;;;;;;2.9;;0.8;0.34;160;;;0.01;;2.5;6200;;;1200;17.7;;;;;;
3360-EAG-16;3360;2013-09-13;2013;;;5.973875;7081.625;637.5;1280;37.75;10.75;0;0;-10;-10;;;;;0.675;0.2975;64.25;;;;;;13850;0.6625;0.6625;1246.25;18;;;135064.5;135064.5;462303.496;462303.496
3360-EAG-16;3360;2017-06-09;2017;18000;;1.0525;7499.9995;750;960;45.5;12.15;40;;;;;;8.6;;0.6;0.7;75;24;;0.03;;2.5;10100;;;1220;19.05;;;;;;
3360-EAG-16;3360;2017-06-13;2017;21200;;1.0898;15709.9995;2000;2702;58;15.93;36;;;;;;4.3;;0.76;0.632;97.9;19.4;5.44;0.02;;2.5;17745.9988;;;2092;18.04;;;;;;
3360-EAG-16;3360;2017-06-15;2017;24250;;1.1842;13219.9992;1940;4350;76;16.88;35;;;;;;1.8725;;0.54;0.245;78;8;;0.03;;2.5;16359.9998;;;2500;21.2;;;;;;
3360-EAG-17;3360;2013-09-17;2013;;;4.84585714285714;11732.7856428571;1800;9071.42857142857;62.5714285714286;18.8;0;0;-10;-10;;;;;0.542857142857143;0.525714285714286;79.2142857142857;;;;;;8005.71428571429;0.535;0.535;728.571428571429;14.2571428571429;;;136955.284571429;136955.284571429;464483.574857143;464483.574857143
3360-EAG-17;3360;2016-05-30;2016;10000;;1.0965;27000;5400;10250;78.5;17.7;;;;;;;0.12;;1.8;0.27;360;;;0.005;;2.5;2050;;;400;;;;;;;
