fewsparameter;Var.2;1000-EAG-1;1000-EAG-2;1000-EAG-3;1000-EAG-4;1010-EAG-1;1060-EAG-1;2000-EAG-1;2000-EAG-2;2000-EAG-3;2000-EAG-4;2000-EAG-5;2000-EAG-6;2000-EAG-7;2010-EAG-1;2010-EAG-2;2020-EAG-1;2030-EAG-1;2040-EAG-1;2100-EAG-1;2110-EAG-1;2110-EAG-2;2110-EAG-3;2110-EAG-4;2110-EAG-5;2120-EAG-1;2120-EAG-2;2120-EAG-3;2130-EAG-1;2140-EAG-1;2140-EAG-3;2140-EAG-4;2140-EAG-6;2150-EAG-3;2160-EAG-1;2200-EAG-1;2210-EAG-1;2220-EAG-1;2220-EAG-2;2220-EAG-3;2230-EAG-1;2230-EAG-2;2240-EAG-1;2250-EAG-1;2250-EAG-2;2250-EAG-3;2250-EAG-4;2250-EAG-5;2250-EAG-7;2270-EAG-1;2280-EAG-1;2290-EAG-1;2300-EAG-1;2310-EAG-1;2330-EAG-1;2340-EAG-1;2350-EAG-1;2380-EAG-1;2400-EAG-1;2400-EAG-2;2400-EAG-3;2400-EAG-4;2400-EAG-5;2410-EAG-1;2500-EAG-1;2500-EAG-2;2500-EAG-3;2500-EAG-4;2500-EAG-5;2500-EAG-6;2501-EAG-1;2501-EAG-2;2502-EAG-1;2503-EAG-1;2504-EAG-1;2505-EAG-1;2506-EAG-1;2510-EAG-1;2510-EAG-2;2510-EAG-3;2511-EAG-1;2512-EAG-1;2520-EAG-1;2520-EAG-4;2530-EAG-1;2530-EAG-2;2540-EAG-1;2540-EAG-2;2540-EAG-3;2540-EAG-4;2550-EAG-1;2550-EAG-2;2550-EAG-4;2550-EAG-5;2560-EAG-1;2560-EAG-2;2570-EAG-1;2570-EAG-2;2600-EAG-1;2600-EAG-2;2600-EAG-4;2600-EAG-6;2600-EAG-9;2610-EAG-1;2620-EAG-1;2630-EAG-1;2630-EAG-3;3000-EAG-1;3020-EAG-1;3040-EAG-1;3050-EAG-1;3070-EAG-1;3070-EAG-2;3100-EAG-1;3100-EAG-10;3100-EAG-2;3100-EAG-3;3100-EAG-4;3100-EAG-5;3100-EAG-9;3110-EAG-1;3110-EAG-2;3110-EAG-3;3110-EAG-4;3110-EAG-5;3200-EAG-1;3200-EAG-2;3201-EAG-1;3201-EAG-2;3201-EAG-3;3210-EAG-1;3210-EAG-2;3210-EAG-3;3220-EAG-2;3220-EAG-3;3230-EAG-1;3230-EAG-2;3230-EAG-3;3230-EAG-4;3230-EAG-5;3230-EAG-6;3240-EAG-1;3250-EAG-1;3260-EAG-1;3300-EAG-1;3300-EAG-10;3300-EAG-11;3300-EAG-12;3300-EAG-3;3300-EAG-4;3300-EAG-5;3300-EAG-6;3300-EAG-7;3300-EAG-8;3300-EAG-9;3301-EAG-1;3302-EAG-1;3302-EAG-2;3310-EAG-2;3311-EAG-1;3311-EAG-2;3311-EAG-3;3311-EAG-7;3320-EAG-1;3320-EAG-2;3320-EAG-3;3320-EAG-4;3340-EAG-1;3340-EAG-2;3340-EAG-3;3350-EAG-1;3360-EAG-1;3360-EAG-10;3360-EAG-11;3360-EAG-12;3360-EAG-13;3360-EAG-14;3360-EAG-15;3360-EAG-16;3360-EAG-17;3360-EAG-18;3360-EAG-2;3360-EAG-3;3360-EAG-4;3360-EAG-5;3360-EAG-9;3370-EAG-1;3370-EAG-2;3370-EAG-3;3370-EAG-4;3370-EAG-5;4000-EAG-1;4000-EAG-2;4000-EAG-3;4000-EAG-4;4000-EAG-6;4000-EAG-7;4000-EAG-8;4100-EAG-1;4110-EAG-1;4110-EAG-2;4120-EAG-1;4120-EAG-2;4130-EAG-1;4140-EAG-1;4140-EAG-2;4140-EAG-3;4140-EAG-4;4200-EAG-2;4200-EAG-3;4210-EAG-1;4210-EAG-2;4210-EAG-3;4210-EAG-4;4210-EAG-5;4230-EAG-1;4240-EAG-1;4250-EAG-1;5000-EAG-1;6000-EAG-1;6040-EAG-1;6050-EAG-1;6060-EAG-1;6080-EAG-1;6100-EAG-1;6100-EAG-2;6110-EAG-1;6400-EAG-1;6400-EAG-2;6420-EAG-1;6430-EAG-1;6440-EAG-1;6450-EAG-1;6460-EAG-1;6460-EAG-2;6480-EAG-1;6480-EAG-2;6490-EAG-1;6500-EAG-1;6510-EAG-1;6530-EAG-1;6530-EAG-2;6540-EAG-1;6540-EAG-2;6540-EAG-3;6550-EAG-1;6570-EAG-1;7000-EAG-1;7010-EAG-1;7010-EAG-2;7020-EAG-1;7040-EAG-1;7050-EAG-1;7060-EAG-1;7100-EAG-1;7100-EAG-2;8000-EAG-1;8010-EAG-1;8010-EAG-2;8020-EAG-1;8030-EAG-1;8030-EAG-2;8030-EAG-3;8030-EAG-5;8040-EAG-1;8050-EAG-2;8050-EAG-3;8060-EAG-1;8070-EAG-1;8070-EAG-2;8080-EAG-2;8090-EAG-1;8090-EAG-2;9010-EAG-1;9020-EAG-1;9030-EAG-1;9040-EAG-1
GELDHD;150.313218390805;182.234074074074;;;;117.277777777778;142.833333333333;158.361111111111;170.885416666667;86.9166666666667;68.4533333333333;257.512698412698;96.8986111111111;61.9074074074074;78.8333333333333;60.2222222222222;119.944444444444;120.777777777778;108.388888888889;100.5;122.166666666667;82.3333333333333;229.833333333333;101.166666666667;81.5;180.416666666667;;66.5;108.642857142857;93;71.8333333333333;71.3333333333333;;95;107.555555555556;88.1111111111111;598.583333333333;89.4391327063741;;58.4981481481481;;69.1388888888889;308.428571428571;252.002164502165;;133.916666666667;410.222222222222;298.25;;206.944444444444;90.4166666666667;155.888888888889;120.416666666667;152.75;82;62.8888888888889;188.388888888889;70;221.285714285714;;;115.333333333333;109.430555555556;118.583333333333;130.962169312169;96.3888888888889;105.666666666667;91.7222222222222;105.710081585082;104.530501089325;;67.3333333333333;60;161.722222222222;123.388888888889;57.3333333333333;;49.8;20.2083333333333;54.5625;92.4444444444444;73.3333333333333;124.690476190476;;176.111111111111;79.3333333333333;397.369658119658;256.416666666667;348.333333333333;92.0833333333333;282.277777777778;304.222222222222;254.319444444444;297.208333333333;221.674242424242;132.588888888889;82.4444444444444;;128.444444444444;;;;68.2380952380952;73.5833333333333;91.25;58.6666666666667;;70.4182365253794;73.7142857142857;101.333333333333;84.3875;61.9444444444444;66.7777777777778;59.2936507936508;77.9444444444444;52.8333333333333;61.6611111111111;49.2777777777778;52.3888888888889;;90.8888888888889;64.6666666666667;33;48.3333333333333;189.333333333333;59.878367003367;68.3333333333333;41.8611111111111;58.3333333333333;68.1111111111111;76.6666666666667;41;46;491.861179840548;66.7222222222222;31.6296296296296;50.67738791423;52.5740740740741;87;52.5555555555556;49.8148148148148;59.4444444444444;;60.5555555555556;40.315233785822;27.9722222222222;31.3888888888889;23.2777777777778;37.9444444444444;38.2316176470588;31.3333333333333;28.7777777777778;28.6666666666667;32.5915032679739;25.1944444444444;56.8333333333333;30.1944444444444;27.1165577342048;51.1666666666667;55.6111111111111;;;;48.1666666666667;35.3888888888889;54.8333333333333;25.5833333333333;53.2107843137255;53.3333333333333;46.3333333333333;56.3888888888889;63;42.6944444444444;43.9596476271668;29.7222222222222;27.6111111111111;37.6666666666667;25.1666666666667;28.6325757575758;30.984126984127;;59.4166666666667;57.2222222222222;49.8333333333333;;49.5;49.6666666666667;;;;;100.111111111111;44.5;99.0555555555556;95.3518518518518;83.4444444444444;73.9206349206349;85;107.416666666667;155.472222222222;146;142.388888888889;71;99.2222222222222;;;;;158.055555555556;;63.2777777777778;38.3888888888889;39.8888888888889;52.9137426900585;48.7222222222222;66.0555555555556;44.962962962963;84.2698412698413;29.3888888888889;633.5;155.166666666667;69;383.75;115.333333333333;255.861111111111;621.75;252.083333333333;124.311965811966;127.277777777778;75.5;66.1161616161616;67.3888888888889;69.1666666666667;62.75;;66.5;;71;76.6666666666667;85.3333333333333;90.6944444444445;;82.5;;77.75;58.0833333333333;65.8125;55.7777777777778;75.4814814814815;52.6111111111111;45.8611111111111;131;66;59.75;32.8888888888889;34.1458333333333;107.166666666667;122;103.722222222222;138.333333333333;;116.140740740741;84;107.5;124;99.8888888888889;105.5;88.8888888888889;85.4387357282094;89.1781481481482;91.8888888888889;68.8888888888889;72.0555555555556;97.3333333333333;120.166666666667;145;65.5
GRZS;;75.125;;70;;;;69;64.6111111111111;79;69.5;61.8333333333333;67.6666666666667;65;;;;;;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.3958333333333;;;;15.2361111111111;18.6527777777778;23.1944444444444;32.6944444444444;28.4722222222222;15.9861111111111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;42.5;40.5;41;55;36;;;;;;;;;;;;;;33.0833333333333;39.0666666666667;;41.8;;;;;68.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;;;;;42.6136363636364;;;;;;;;
HCO3-1;180.238095238095;272.045454545455;;;;484.166666666667;459.166666666667;270.444444444444;281.296296296296;179.166666666667;220;349.325396825397;283.055555555556;196.458333333333;276.25;233.333333333333;482.5;547.5;510.833333333333;398.111111111111;425;232.5;329.166666666667;195;;411.666666666667;;197.5;286.25;243.333333333333;222.5;246.25;;308.75;452.222222222222;310.833333333333;330;235.380341880342;;;;240.5;427.5;163.958333333333;;323.333333333333;403.541666666667;485.833333333333;;368.333333333333;245.833333333333;489.166666666667;343.75;206.25;285.555555555556;210.833333333333;370;250;333.75;;;270.666666666667;142.175;262.5;367.23311546841;273.333333333333;268.333333333333;190.833333333333;193;329.343434343434;;242.5;187.5;582.5;368.333333333333;183.75;;139.903846153846;50;198.125;320.833333333333;261.666666666667;396.666666666667;;394.166666666667;280;460.416666666667;428.333333333333;380;356.75;236.25;273.611111111111;230.5;309.5;303.962962962963;181.555555555556;304.166666666667;;461.25;;;;237.18253968254;267.5;300;180.833333333333;;179.386473429952;158.375;253.75;207.5;239.166666666667;285.833333333333;116.1;250.555555555556;106;180.077777777778;137.5;150.416666666667;;303.666666666667;185.833333333333;140;108.5;230.238095238095;113.45;238.333333333333;71.375;146.666666666667;196.111111111111;210.833333333333;118.5;160;273.333333333333;269.444444444444;125.111111111111;130.416666666667;182.685185185185;;187.5;163.333333333333;246.666666666667;;227.5;153.611111111111;137.254901960784;138.066666666667;86.4444444444444;141.666666666667;147.5;119.166666666667;118.166666666667;125.416666666667;112.5;86.1333333333333;210;178.333333333333;170.915032679739;227.5;288.333333333333;;;;218.125;140.416666666667;240.833333333333;87.5;287.083333333333;278.333333333333;188.333333333333;240;330;169.722222222222;186.25;135.555555555556;119.916666666667;134.5;150.777777777778;126.939393939394;170.484126984127;;180.833333333333;225;136.666666666667;;141.25;163.333333333333;;;;;217.777777777778;132.777777777778;223.055555555556;208.703703703704;166.666666666667;186.666666666667;198.888888888889;251.666666666667;378.333333333333;460;410.833333333333;270;227.5;;;;;239.166666666667;;191.666666666667;123.333333333333;126.666666666667;186.842592592593;177.5;190;172.291666666667;205;31.5;;495;318.333333333333;388.75;503.333333333333;179.375;170;607.5;382.083333333333;399.166666666667;195;220.037037037037;224.166666666667;221.25;263.75;;255;;301.25;277.5;235;200;;250;;173.75;221.5;236.25;;292.958333333333;237.777777777778;212.472222222222;;220;;130.944444444444;144.166666666667;317.777777777778;550;;405.833333333333;;534.285714285714;340;464.166666666667;374.166666666667;;380;354.166666666667;246.038647342995;317.634920634921;338.75;336.666666666667;257.5;393.333333333333;453.333333333333;480;331.666666666667
HEPTNP;5.40416666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEXTAZX;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HG;;0.02;;;;;;;0.04;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;0.04;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;;;;;;;;;;0.0025;;;;0.01;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;0.0025;;;;;;;;;;0.0025;0.0025;;;;;;;;;;
HG-1;0.0025;0.01;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;0.0025;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;0.0025;;;;;;;0.0025;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;0.0025;;;;;;;;;;0.0025;0.0025;;;;;;;;;;
IMAZLL;8.05083333333333;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMIDCP;7.88666666666667;0.005;;;;;;;;;;;0.036875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INP;;0.00516666666666667;;;;;;;;;;;0.00941666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00683333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ipcb;8.22;0.005;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ipDon;8.45;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IPTRN;8.55083333333333;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
irgrl;8.7275;0.0125;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KJN;1.96018518518519;1.8047514619883;;1.3;;2.66666666666667;2.33888888888889;1.93888888888889;2.27654320987654;1.14464285714286;1.69027777777778;3.26939830195644;2.81444444444444;2.01111111111111;1.80833333333333;2.25;3.12222222222222;3.14444444444444;3.25555555555556;2.79615384615385;3.41666666666667;2.31666666666667;3.06666666666667;4.78333333333333;;3.71666666666667;;3.925;2.425;2.43333333333333;3.59166666666667;3.825;;3.15;2.49444444444444;4.06666666666667;2.85833333333333;1.47386243386243;;;;2.49166666666667;5.13888888888889;1.27962962962963;;2.55833333333333;3.91666666666667;3.05;;3.56666666666667;1.50833333333333;4.16666666666667;2.775;2.78333333333333;2.56666666666667;1.28888888888889;2.87777777777778;2.6;4.175;;;8.06666666666667;7.49027777777778;2.70833333333333;3.61148148148148;2.80833333333333;1.53888888888889;1.23888888888889;1.16984126984127;4.38159041394336;;3.02222222222222;2.17916666666667;7.5;4.00555555555556;2.51666666666667;;2.58;2.88333333333333;3.67291666666667;2.86666666666667;2.57222222222222;4.22222222222222;;3.73333333333333;2.33333333333333;5.49722222222222;10.2166666666667;3.03333333333333;4.71666666666667;1.54444444444444;1.85833333333333;1.57916666666667;3.50416666666667;2.87272727272727;3.40888888888889;2.81666666666667;;4.39166666666667;;;;10.934126984127;2.90833333333333;3.425;3.96111111111111;;1.30902777777778;2.26666666666667;2.075;1.56833333333333;2.25;2.08333333333333;1.34444444444444;2.07222222222222;1.53888888888889;1.74166666666667;1.61666666666667;2.69444444444444;;2.26944444444444;2.39166666666667;2.91666666666667;3.32777777777778;2.02777777777778;0.982539682539682;3.05;1.47777777777778;1.46666666666667;1.56111111111111;3.72777777777778;6.65;3.7;1.68888888888889;2.76111111111111;2.07962962962963;0.912777777777778;1.61898148148148;;1.85;1.27824074074074;1.94444444444444;;1.95555555555556;1.51666666666667;1.88611111111111;2.15833333333333;2.2;1.52222222222222;1.53333333333333;1.72222222222222;1.51111111111111;1.55555555555556;2.42222222222222;2.20555555555556;2.04166666666667;1.7;1.62592592592593;1.49166666666667;2.37222222222222;;;;2.38333333333333;1.88888888888889;2.725;1.3;2.62777777777778;4.11666666666667;3.1;3.33333333333333;3.7;1.125;0.92;1.76111111111111;2.06388888888889;2.425;2.9;1.9125;1.38888888888889;;1.78333333333333;2.3;1.06666666666667;;1.19166666666667;1.86111111111111;;;;;1.96944444444444;1.3;1.77222222222222;1.75555555555556;2.21111111111111;1.66111111111111;1.61666666666667;2.23055555555556;3.06111111111111;5.1;2.11111111111111;2.5;2.25555555555556;;;;;2.81111111111111;;1.83888888888889;1.67777777777778;2.17777777777778;1.90925925925926;1.83888888888889;1.76666666666667;1.92777777777778;1.41666666666667;2.32222222222222;1.2;2.61666666666667;2.01666666666667;2.15833333333333;3.53333333333333;1.13541666666667;1.34166666666667;2.60833333333333;2.7;3.55;4.21666666666667;2.05525252525253;1.49444444444444;1.89166666666667;2.15833333333333;;2.44444444444444;;7.05;1.51666666666667;1.86666666666667;2.13888888888889;;2.35555555555556;;1.95;1.54166666666667;1.90833333333333;1.43888888888889;2.5212962962963;1.21111111111111;1.16388888888889;2.425;1.36666666666667;1.09166666666667;1.01666666666667;1.95;1.80555555555556;1.6;1.80555555555556;2.06111111111111;;4.63703703703704;2.4;3.43333333333333;4.55555555555556;1.86111111111111;1.7;2;1.08540051679587;2.25240740740741;2.03888888888889;2.51111111111111;2.06666666666667;1.75;2.7;1.58333333333333;1.83333333333333
KRESOXMC;8.88416666666667;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LICHTINT0;;387;;;;;;;;;585.161111111111;;81.84;;;;;;;;;;;;;;;;;;232.380833333333;;;;;;;767.616666666667;;;;;;845.877777777778;;;;;;;;;;;;;;;;;;;;;;;538.133333333333;460.877777777778;386.727777777778;;;;;;;;;;;;;;;;;;;;;;382.816666666667;;;;;;;;;;;;;;;;;235.7;;;;;;796.722222222222;;572.8;498.555555555556;627.2;654.077777777778;;;;;;;288.627777777778;;668.338383838384;792.3;;;;;;;551.611111111111;429.561111111111;470.061111111111;;;;;;;875.055555555556;;;;838.727777777778;879.672222222222;735.305555555556;286.52;332.8;412.35;;;;;556.808333333333;;;;;730.695833333333;418.908333333333;;675.133333333333;;;;;;395.066666666667;631.275;;428.022222222222;354.833333333333;;761.85;;;;;413.216666666667;;781.883333333333;;;;;;;;;;;;;;;;;;;;;;;;;;414.555555555556;414.888888888889;;461.555555555556;;;;;;;;;;457.475833333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;575.671794871795;;;;;;;;
LICHTINT1;;96;;;;;;;;;266.238333333333;;27;;;;;;;;;;;;;;;;;;79.7308333333333;;;;;;;156.612777777778;;;;;;203.297777777778;;;;;;;;;;;;;;;;;;;;;;;197.972222222222;129.122222222222;168.883333333333;;;;;;;;;;;;;;;;;;;;;;147.3;;;;;;;;;;;;;;;;;88.7;;;;;;462.711111111111;;371.488888888889;300.094444444444;406.344444444444;324.211111111111;;;;;;;75.3888888888889;;386.991919191919;583.51;;;;;;;332.966666666667;95.7944444444445;237.724074074074;;;;;;;232.030555555556;;;;364.772222222222;350.638333333333;253.236111111111;194.983333333333;207.916666666667;152.936111111111;;;;;270.575;;;;;242.2625;186.419444444444;;351.791666666667;;;;;;250.95;154.4;;173.661111111111;184.05;;404.156666666667;;;;;180.008333333333;;199.683333333333;;;;;;;;;;;;;;;;;;;;;;;;;;186.866666666667;160.488888888889;;184.361111111111;;;;;;;;;;122.238472222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103.357478632479;;;;;;;;
LICHTINT2;;32;;;;;;;;;144.023333333333;;12.2;;;;;;;;;;;;;;;;;;32.3641666666667;;;;;;;51.1511111111111;;;;;;78.4338888888889;;;;;;;;;;;;;;;;;;;;;;;67.5611111111111;60.4222222222222;81.0194444444444;;;;;;;;;;;;;;;;;;;;;;64.4305555555556;;;;;;;;;;;;;;;;;52.3;;;;;;298.288888888889;;271.364444444444;179.305555555556;297.377777777778;232.911111111111;;;;;;;29.6833333333333;;228.887878787879;395.46;;;;;;;176.633333333333;37.2055555555556;121.42037037037;;;;;;;75.9097222222222;;;;161.825;149.916111111111;86.4666666666667;110.87;125.75;69.8944444444444;;;;;160.866666666667;;;;;107.375;105.561111111111;;217.433333333333;;;;;;158.194444444444;47.0408333333333;;74.1222222222222;109.958333333333;;210.091666666667;;;;;100;;52.18;;;;;;;;;;;;;;;;;;;;;;;;;;106.205555555556;68.3388888888889;;75.3722222222222;;;;;;;;;;39.6354166666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.5785042735043;;;;;;;;
LICHTINT3;;7.8;;;;;;;;;78.4811111111111;;5.04;;;;;;;;;;;;;;;;;;14.5008333333333;;;;;;;15.2922222222222;;;;;;29.1438888888889;;;;;;;;;;;;;;;;;;;;;;;33.3111111111111;30.45;50.8027777777778;;;;;;;;;;;;;;;;;;;;;;28.9444444444444;;;;;;;;;;;;;;;;;31.6;;;;;;189.15;;211.348888888889;114.611111111111;185.666666666667;129.855555555556;;;;;;;12.9777777777778;;123.857070707071;273.09;;;;;;;98.5433333333333;15.3944444444444;74.7648148148148;;;;;;;24.2972222222222;;;;81.2194444444444;64.9111111111111;38.3416666666667;83.46;81.3527777777778;17.3111111111111;;;;;100.616666666667;;;;;50.1833333333333;68.0388888888889;;142.491666666667;;;;;;106.111111111111;15.5283333333333;;40.8111111111111;70;;129.25;;;;;61.5583333333333;;15.3308333333333;;;;;;;;;;;;;;;;;;;;;;;;;;61.4444444444444;32.2611111111111;;34.4111111111111;;;;;;;;;;16.9206944444444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.8817735042735;;;;;;;;
LICHTINT4;;2.2;;;;;;;;;53.445;;2.59;;;;;;;;;;;;;;;;;;7.42;;;;;;;6.28;;;;;;13.2144444444444;;;;;;;;;;;;;;;;;;;;;;;15.9277777777778;15.6027777777778;35.2944444444444;;;;;;;;;;;;;;;;;;;;;;15.5472222222222;;;;;;;;;;;;;;;;;21;;;;;;133.716666666667;;126.42;78.9222222222222;124.505555555556;72.3333333333333;;;;;;;6.34444444444444;;82.5545454545455;150.1;;;;;;;57.5366666666667;6.70555555555556;48.8185185185185;;;;;;;7.89722222222222;;;;40.5233333333333;22.6361111111111;16.0072222222222;42.8233333333333;56.175;6.46111111111111;;;;;71.1583333333333;;;;;24.0875;49.1861111111111;;79.6666666666667;;;;;;61.9555555555556;5.7025;;25.1944444444444;47.125;;83.4441666666667;;;;;37.45;;5.23666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;36.3111111111111;14.2277777777778;;18.1666666666667;;;;;;;;;;5.75916666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.32668803418803;;;;;;;;
