GAFIDENT;GAFNAAM;Begindatum;Einddatum;KRWWaterlichaamcode;KRW_SGBP3;KRWmonitoringslocatie;KRWmonitoringslocatie_SGBP3;KRWmonitoringslocatie_SGBP3_MeetpuntInAquoKit20200701;SGBP3_NAAM;OPMERKING;Plas;watertype;KRWWatertypeVoorstel_status;type;vijver;StedelijkLandelijk;LANDBOUWGEB;OppEAG;OppWater;OppLand;OmtrekWater;OppWater0_1m;OppWater1_8m;OppWater8m;Opp verhard;Opp onverhard;Opp water (BGT);percOpenwater;Formule_omtrekoppervlak
4240-EAG-1;Hilversumse Meent, Hilversumse Meent;20160726;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;overig;888825;61510;827314;9175;;;;306873;519791;62152;7;0.027031291
4250-EAG-1;'s-Gravelandsche Polder, 's-Gravelandsche Polder;20160726;;;;;;;;KRW Overig water;;M3;20161205_MemoWatertypenOverigWater;canal;;Landelijk;aandachtsgebied;8224548;372416;7852132;93754;;;;1498230;6344222;381658;5;0.006509151
4250-EAG-2;'s-Gravelandsche Polder, 's-Gravelandsche Polder - KRW Waterlichaam;20190320;;NL11_2_2;NL11_2_2;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;NL11_VaartenVechtstreek;Vaarten Vechtstreek;KRW Waterlichaam;;M6a;WBP 2016-2021;canal;;Landelijk;overig;255788;100911;154878;16450;;;;69970;83627;102200;39;0.019310937
5000-EAG-2;'t Gooi, 't Gooi - 1;20170418;;;;;;;;KRW Overig water;;M3;;canal;;Landelijk;overig;19859112;87176;19771936;13652;;;;5173730;14597717;87974;0;0.021627294
5000-EAG-3;'t Gooi, 't Gooi;20180323;;;;;;;;KRW Overig water;;NVT;;canal;;Landelijk;overig;10258828;64388;10194441;21625;;;;1313021;8880046;65896;1;0.011734007
5000-EAG-4;'t Gooi, 't Gooi;20180323;;;;;;;;KRW Overig water;;M11;;kleine plas;vijver;Landelijk;overig;10272165;53985;10218180;15498;;;;1960575;8256783;54927;1;0.014992046
5000-EAG-5;'t Gooi, 't Gooi;20180323;;;;;;;;KRW Overig water;;M11;;kleine plas;vijver;Landelijk;overig;5700403;120201;5580202;7098;;;;912736;4666881;120831;2;0.048844767
5000-EAG-6;'t Gooi, 't Gooi;20180323;;;;;;;;KRW Overig water;;M11;;kleine plas;vijver;Landelijk;overig;12241437;34833;12206604;4410;;;;609553;11596737;35078;0;0.042321091
5000-EAG-7;'t Gooi, 't Gooi;20180323;;;;;;;;KRW Overig water;;M6a;;canal;;Stedelijk;overig;6330230;35552;6294677;2740;;;;3647729;2646721;35810;1;0.068814737
5000-EAG-8;'t Gooi, 't Gooi;20180323;;;;;;;;KRW Overig water;;M11;;kleine plas;vijver;Landelijk;overig;10183597;90905;10092692;16577;;;;1606701;8484212;92780;1;0.018188126
6000-EAG-10;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, afstromend naar boezem - oost;20180314;;;;;;;;KRW Overig water;;M1b;;canal;;Stedelijk;overig;7832293;677920;7154373;52403;;;;5055643;2182567;675033;9;0.015712058
6000-EAG-2;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, Nuoncentrale;20170414;;;;;;;;KRW Overig water;;M11;;canal;;Stedelijk;overig;169776;65403;104373;2845;;;;76647;27165;65516;39;0.089891073
6000-EAG-3;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, Diemerzeedijk noord;20170414;;;;;;;;KRW Overig water;;M30;;canal;;Stedelijk;overig;464059;48720;415339;14356;;;;69977;344880;49217;10;0.015375179
6000-EAG-4;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, Hoeker- en Garstenpolder noord-puntje;20170418;;;;;;;;KRW Overig water;;M11;;kleine plas;;Landelijk;overig;15234;6063;9170;798;;;;805;8365;6062;40;0.097575524
6000-EAG-5;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, hoogspanningstrac?®;20170414;;;;;;;;KRW Overig water;;M30;;canal;;Stedelijk;overig;360602;7984;352618;2805;;;;49533;303095;7986;2;0.031854985
6000-EAG-6;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, haven;20170418;;;;;;;;KRW Overig water;;M11;;kleine plas;;Stedelijk;overig;13626;12764;862;492;;;;157;707;12806;94;0.229629825
6000-EAG-7;Geen EAG;20170414;;;;;;;;Geen KRW open water;;NVT;;canal;;Stedelijk;overig;83181;0;83181;0;;;;69408;13776;0;0;#DELING.DOOR.0!
6000-EAG-8;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, tbv drinkwater;20170418;;;;;;;;KRW Overig water;;M11;;kleine plas;;Stedelijk;overig;18846;11655;7191;1121;;;;254;6931;11661;62;0.096305375
6000-EAG-9;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, afstromend naar boezem - west;20160428;;;;;;;;KRW Overig water;;M30;;canal;;Stedelijk;overig;23487569;599790;22887779;224577;;;;15768758;7165890;620503;3;0.003448533
6040-EAG-1;Sportpark Tuindorp Oostzaan, Sportpark Tuindorp Oostzaan;20170331;;;;;;;;KRW Overig water;;M1a;;sloot;vijver;Stedelijk;sportpark;84508;4989;79519;2076;;;;14938;64566;4987;6;0.034023533
6050-EAG-1;Krasseurstraat, Krasseurstraat;20170329;;;;;;;;KRW Overig water;;M10;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;overig;227690;9142;218548;1564;;;;27646;34639;9142;4;0.061134147
6060-EAG-1;W.H. Vliegenbos, W.H. Vliegenbos;20170329;;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;overig;252627;18542;234085;7749;;;;7796;226003;18541;7;0.017572463
6080-EAG-1;Polder Bernard, Polder Polder Bernard;20170329;;;;;;;;KRW Overig water;;M1a;WBP 2016-2021;sloot;;Stedelijk;overig;25595;847;24748;639;;;;11931;12673;924;3;0.045545015
6100-EAG-1;Noorder IJ Polder, Noorder IJplas;20160428;;NL11_7_2;NL11_7_2;NL11_NoorderIJplas;NL11_NoorderIJplas;NL11_NoorderIJplas;Noorder IJplas;KRW Waterlichaam;Noorder IJ-plas;M20;WBP 2016-2021;plas;;Landelijk;overig;692761;512713;180047;7926;11857;331625;168843;67663;112346;512713;74;0.090340626
6110-EAG-1;Noorder IJ Polder, Noorder IJ Polder;20170331;;;;;;;;KRW Overig water;;M3;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;overig;1485000;81281;1403720;13398;;;;620540;784217;80289;5;0.021279163
